timestamp,elapsed_s,pod,status,memory_current_mi,memory_min_mi,memory_low_mi,memory_high,memory_events_high,memory_events_oom_kill,kubepods_memory_min_mi,burstable_memory_low_mi,mem_available_mi,node_memory_pressure,kubelet_api_ms
2026-06-12T16:40:18-04:00,1,guaranteed-holder-1,Running,1032,7168,0,max,0,0,29766,1094,17220,False,33
2026-06-12T16:40:18-04:00,1,guaranteed-holder-2,Running,1032,7168,0,max,0,0,29766,1094,17220,False,33
2026-06-12T16:40:18-04:00,1,guaranteed-holder-3,Running,1032,7168,0,max,0,0,29766,1094,17220,False,33
2026-06-12T16:40:18-04:00,1,guaranteed-holder-4,Running,1032,7168,0,max,0,0,29766,1094,17220,False,33
2026-06-12T16:40:18-04:00,1,burstable-holder,Running,518,0,1024,3972841472,0,0,29766,1094,17220,False,33
2026-06-12T16:40:18-04:00,1,besteffort-holder,Running,518,0,0,29943558144,0,0,29766,1094,17220,False,33
2026-06-12T16:40:18-04:00,1,besteffort-aggressor,NotFound,0,0,0,n/a,0,0,29766,1094,17220,False,33
2026-06-12T16:40:20-04:00,3,guaranteed-holder-1,Running,1032,7168,0,max,0,0,29766,1094,17192,False,43
2026-06-12T16:40:20-04:00,3,guaranteed-holder-2,Running,1032,7168,0,max,0,0,29766,1094,17192,False,43
2026-06-12T16:40:20-04:00,3,guaranteed-holder-3,Running,1032,7168,0,max,0,0,29766,1094,17192,False,43
2026-06-12T16:40:20-04:00,3,guaranteed-holder-4,Running,1032,7168,0,max,0,0,29766,1094,17192,False,43
2026-06-12T16:40:20-04:00,3,burstable-holder,Running,518,0,1024,3972841472,0,0,29766,1094,17192,False,43
2026-06-12T16:40:20-04:00,3,besteffort-holder,Running,518,0,0,29943558144,0,0,29766,1094,17192,False,43
2026-06-12T16:40:20-04:00,3,besteffort-aggressor,NotFound,0,0,0,n/a,0,0,29766,1094,17192,False,43
2026-06-12T16:40:23-04:00,6,guaranteed-holder-1,Running,1032,7168,0,max,0,0,29766,1094,17187,False,37
2026-06-12T16:40:23-04:00,6,guaranteed-holder-2,Running,1032,7168,0,max,0,0,29766,1094,17187,False,37
2026-06-12T16:40:23-04:00,6,guaranteed-holder-3,Running,1032,7168,0,max,0,0,29766,1094,17187,False,37
2026-06-12T16:40:23-04:00,6,guaranteed-holder-4,Running,1032,7168,0,max,0,0,29766,1094,17187,False,37
2026-06-12T16:40:23-04:00,6,burstable-holder,Running,518,0,1024,3972841472,0,0,29766,1094,17187,False,37
2026-06-12T16:40:23-04:00,6,besteffort-holder,Running,518,0,0,29943558144,0,0,29766,1094,17187,False,37
2026-06-12T16:40:23-04:00,6,besteffort-aggressor,NotFound,0,0,0,n/a,0,0,29766,1094,17187,False,37
2026-06-12T16:40:25-04:00,8,guaranteed-holder-1,Running,1032,7168,0,max,0,0,29766,1094,17185,False,38
2026-06-12T16:40:25-04:00,8,guaranteed-holder-2,Running,1032,7168,0,max,0,0,29766,1094,17185,False,38
2026-06-12T16:40:25-04:00,8,guaranteed-holder-3,Running,1032,7168,0,max,0,0,29766,1094,17185,False,38
2026-06-12T16:40:25-04:00,8,guaranteed-holder-4,Running,1032,7168,0,max,0,0,29766,1094,17185,False,38
2026-06-12T16:40:25-04:00,8,burstable-holder,Running,518,0,1024,3972841472,0,0,29766,1094,17185,False,38
2026-06-12T16:40:25-04:00,8,besteffort-holder,Running,518,0,0,29943558144,0,0,29766,1094,17185,False,38
2026-06-12T16:40:25-04:00,8,besteffort-aggressor,NotFound,0,0,0,n/a,0,0,29766,1094,17185,False,38
2026-06-12T16:40:27-04:00,10,guaranteed-holder-1,Running,1032,7168,0,max,0,0,29766,1094,17208,False,40
2026-06-12T16:40:27-04:00,10,guaranteed-holder-2,Running,1032,7168,0,max,0,0,29766,1094,17208,False,40
2026-06-12T16:40:27-04:00,10,guaranteed-holder-3,Running,1032,7168,0,max,0,0,29766,1094,17208,False,40
2026-06-12T16:40:27-04:00,10,guaranteed-holder-4,Running,1032,7168,0,max,0,0,29766,1094,17208,False,40
2026-06-12T16:40:27-04:00,10,burstable-holder,Running,518,0,1024,3972841472,0,0,29766,1094,17208,False,40
2026-06-12T16:40:27-04:00,10,besteffort-holder,Running,518,0,0,29943558144,0,0,29766,1094,17208,False,40
2026-06-12T16:40:27-04:00,10,besteffort-aggressor,NotFound,0,0,0,n/a,0,0,29766,1094,17208,False,40
2026-06-12T16:40:30-04:00,13,guaranteed-holder-1,Running,1032,7168,0,max,0,0,29766,1094,17240,False,36
2026-06-12T16:40:30-04:00,13,guaranteed-holder-2,Running,1032,7168,0,max,0,0,29766,1094,17240,False,36
2026-06-12T16:40:30-04:00,13,guaranteed-holder-3,Running,1032,7168,0,max,0,0,29766,1094,17240,False,36
2026-06-12T16:40:30-04:00,13,guaranteed-holder-4,Running,1032,7168,0,max,0,0,29766,1094,17240,False,36
2026-06-12T16:40:30-04:00,13,burstable-holder,Running,518,0,1024,3972841472,0,0,29766,1094,17240,False,36
2026-06-12T16:40:30-04:00,13,besteffort-holder,Running,518,0,0,29943558144,0,0,29766,1094,17240,False,36
2026-06-12T16:40:30-04:00,13,besteffort-aggressor,NotFound,0,0,0,n/a,0,0,29766,1094,17240,False,36
2026-06-12T16:40:32-04:00,15,guaranteed-holder-1,Running,1032,7168,0,max,0,0,29766,1094,17211,False,35
2026-06-12T16:40:32-04:00,15,guaranteed-holder-2,Running,1032,7168,0,max,0,0,29766,1094,17211,False,35
2026-06-12T16:40:32-04:00,15,guaranteed-holder-3,Running,1032,7168,0,max,0,0,29766,1094,17211,False,35
2026-06-12T16:40:32-04:00,15,guaranteed-holder-4,Running,1032,7168,0,max,0,0,29766,1094,17211,False,35
2026-06-12T16:40:32-04:00,15,burstable-holder,Running,518,0,1024,3972841472,0,0,29766,1094,17211,False,35
2026-06-12T16:40:32-04:00,15,besteffort-holder,Running,518,0,0,29943558144,0,0,29766,1094,17211,False,35
2026-06-12T16:40:32-04:00,15,besteffort-aggressor,NotFound,0,0,0,n/a,0,0,29766,1094,17211,False,35
2026-06-12T16:40:34-04:00,17,guaranteed-holder-1,Running,1032,7168,0,max,0,0,29766,1094,17219,False,31
2026-06-12T16:40:34-04:00,17,guaranteed-holder-2,Running,1032,7168,0,max,0,0,29766,1094,17219,False,31
2026-06-12T16:40:34-04:00,17,guaranteed-holder-3,Running,1032,7168,0,max,0,0,29766,1094,17219,False,31
2026-06-12T16:40:34-04:00,17,guaranteed-holder-4,Running,1032,7168,0,max,0,0,29766,1094,17219,False,31
2026-06-12T16:40:34-04:00,17,burstable-holder,Running,518,0,1024,3972841472,0,0,29766,1094,17219,False,31
2026-06-12T16:40:34-04:00,17,besteffort-holder,Running,518,0,0,29943558144,0,0,29766,1094,17219,False,31
2026-06-12T16:40:34-04:00,17,besteffort-aggressor,NotFound,0,0,0,n/a,0,0,29766,1094,17219,False,31
2026-06-12T16:40:37-04:00,20,guaranteed-holder-1,Running,1032,7168,0,max,0,0,29766,1094,17207,False,33
2026-06-12T16:40:37-04:00,20,guaranteed-holder-2,Running,1032,7168,0,max,0,0,29766,1094,17207,False,33
2026-06-12T16:40:37-04:00,20,guaranteed-holder-3,Running,1032,7168,0,max,0,0,29766,1094,17207,False,33
2026-06-12T16:40:37-04:00,20,guaranteed-holder-4,Running,1032,7168,0,max,0,0,29766,1094,17207,False,33
2026-06-12T16:40:37-04:00,20,burstable-holder,Running,518,0,1024,3972841472,0,0,29766,1094,17207,False,33
2026-06-12T16:40:37-04:00,20,besteffort-holder,Running,518,0,0,29943558144,0,0,29766,1094,17207,False,33
2026-06-12T16:40:37-04:00,20,besteffort-aggressor,NotFound,0,0,0,n/a,0,0,29766,1094,17207,False,33
2026-06-12T16:40:39-04:00,22,guaranteed-holder-1,Running,1032,7168,0,max,0,0,29766,1094,17258,False,36
2026-06-12T16:40:39-04:00,22,guaranteed-holder-2,Running,1032,7168,0,max,0,0,29766,1094,17258,False,36
2026-06-12T16:40:39-04:00,22,guaranteed-holder-3,Running,1032,7168,0,max,0,0,29766,1094,17258,False,36
2026-06-12T16:40:39-04:00,22,guaranteed-holder-4,Running,1032,7168,0,max,0,0,29766,1094,17258,False,36
2026-06-12T16:40:39-04:00,22,burstable-holder,Running,518,0,1024,3972841472,0,0,29766,1094,17258,False,36
2026-06-12T16:40:39-04:00,22,besteffort-holder,Running,518,0,0,29943558144,0,0,29766,1094,17258,False,36
2026-06-12T16:40:39-04:00,22,besteffort-aggressor,NotFound,0,0,0,n/a,0,0,29766,1094,17258,False,36
2026-06-12T16:40:42-04:00,25,guaranteed-holder-1,Running,1032,7168,0,max,0,0,29766,1094,17234,False,33
2026-06-12T16:40:42-04:00,25,guaranteed-holder-2,Running,1032,7168,0,max,0,0,29766,1094,17234,False,33
2026-06-12T16:40:42-04:00,25,guaranteed-holder-3,Running,1032,7168,0,max,0,0,29766,1094,17234,False,33
2026-06-12T16:40:42-04:00,25,guaranteed-holder-4,Running,1032,7168,0,max,0,0,29766,1094,17234,False,33
2026-06-12T16:40:42-04:00,25,burstable-holder,Running,518,0,1024,3972841472,0,0,29766,1094,17234,False,33
2026-06-12T16:40:42-04:00,25,besteffort-holder,Running,518,0,0,29943558144,0,0,29766,1094,17234,False,33
2026-06-12T16:40:42-04:00,25,besteffort-aggressor,NotFound,0,0,0,n/a,0,0,29766,1094,17234,False,33
2026-06-12T16:40:44-04:00,27,guaranteed-holder-1,Running,1032,7168,0,max,0,0,29766,1094,17203,False,36
2026-06-12T16:40:44-04:00,27,guaranteed-holder-2,Running,1032,7168,0,max,0,0,29766,1094,17203,False,36
2026-06-12T16:40:44-04:00,27,guaranteed-holder-3,Running,1032,7168,0,max,0,0,29766,1094,17203,False,36
2026-06-12T16:40:44-04:00,27,guaranteed-holder-4,Running,1032,7168,0,max,0,0,29766,1094,17203,False,36
2026-06-12T16:40:44-04:00,27,burstable-holder,Running,518,0,1024,3972841472,0,0,29766,1094,17203,False,36
2026-06-12T16:40:44-04:00,27,besteffort-holder,Running,518,0,0,29943558144,0,0,29766,1094,17203,False,36
2026-06-12T16:40:44-04:00,27,besteffort-aggressor,NotFound,0,0,0,n/a,0,0,29766,1094,17203,False,36
2026-06-12T16:40:46-04:00,29,guaranteed-holder-1,Running,1032,7168,0,max,0,0,29766,1094,17213,False,34
2026-06-12T16:40:46-04:00,29,guaranteed-holder-2,Running,1032,7168,0,max,0,0,29766,1094,17213,False,34
2026-06-12T16:40:46-04:00,29,guaranteed-holder-3,Running,1032,7168,0,max,0,0,29766,1094,17213,False,34
2026-06-12T16:40:46-04:00,29,guaranteed-holder-4,Running,1032,7168,0,max,0,0,29766,1094,17213,False,34
2026-06-12T16:40:46-04:00,29,burstable-holder,Running,518,0,1024,3972841472,0,0,29766,1094,17213,False,34
2026-06-12T16:40:46-04:00,29,besteffort-holder,Running,518,0,0,29943558144,0,0,29766,1094,17213,False,34
2026-06-12T16:40:46-04:00,29,besteffort-aggressor,NotFound,0,0,0,n/a,0,0,29766,1094,17213,False,34
2026-06-12T16:40:49-04:00,32,guaranteed-holder-1,Running,1032,7168,0,max,0,0,29766,1094,17235,False,32
2026-06-12T16:40:49-04:00,32,guaranteed-holder-2,Running,1032,7168,0,max,0,0,29766,1094,17235,False,32
2026-06-12T16:40:49-04:00,32,guaranteed-holder-3,Running,1032,7168,0,max,0,0,29766,1094,17235,False,32
2026-06-12T16:40:49-04:00,32,guaranteed-holder-4,Running,1032,7168,0,max,0,0,29766,1094,17235,False,32
2026-06-12T16:40:49-04:00,32,burstable-holder,Running,518,0,1024,3972841472,0,0,29766,1094,17235,False,32
2026-06-12T16:40:49-04:00,32,besteffort-holder,Running,518,0,0,29943558144,0,0,29766,1094,17235,False,32
2026-06-12T16:40:49-04:00,32,besteffort-aggressor,NotFound,0,0,0,n/a,0,0,29766,1094,17235,False,32
2026-06-12T16:40:51-04:00,34,guaranteed-holder-1,Running,1032,7168,0,max,0,0,29766,1094,17253,False,36
2026-06-12T16:40:51-04:00,34,guaranteed-holder-2,Running,1032,7168,0,max,0,0,29766,1094,17253,False,36
2026-06-12T16:40:51-04:00,34,guaranteed-holder-3,Running,1032,7168,0,max,0,0,29766,1094,17253,False,36
2026-06-12T16:40:51-04:00,34,guaranteed-holder-4,Running,1032,7168,0,max,0,0,29766,1094,17253,False,36
2026-06-12T16:40:51-04:00,34,burstable-holder,Running,518,0,1024,3972841472,0,0,29766,1094,17253,False,36
2026-06-12T16:40:51-04:00,34,besteffort-holder,Running,518,0,0,29943558144,0,0,29766,1094,17253,False,36
2026-06-12T16:40:51-04:00,34,besteffort-aggressor,NotFound,0,0,0,n/a,0,0,29766,1094,17253,False,36
2026-06-12T16:40:54-04:00,37,guaranteed-holder-1,Running,1032,7168,0,max,0,0,29766,1094,17220,False,38
